Wellington-mean,Wellington-bonds,Enrol-wellington,GDP,HouseValue,Population,Cost-changing,
438,43411,41408.33333,14.63333333,543754,496900,18,
410,43638,41408.33333,14.63333333,543754,496900,-28,
389,43884,41408.33333,14.63333333,543754,496900,-21,
405,44377,41408.33333,14.63333333,543754,496900,16,
384,44502,41408.33333,14.63333333,543754,496900,-21,
391,44679,41408.33333,14.63333333,543754,496900,7,
379,44670,41408.33333,14.63333333,543754,496900,-12,
376,44684,41408.33333,14.63333333,543754,496900,-3,
399,44709,41408.33333,14.63333333,543754,496900,23,
404,44354,41408.33333,14.63333333,543754,496900,5,
409,44278,42075,15.41666667,579857,504900,5,
450,43564,42075,15.41666667,579857,504900,41,
448,44284,42075,15.41666667,579857,504900,-2,
432,44532,42075,15.41666667,579857,504900,-16,
411,45227,42075,15.41666667,579857,504900,-21,
410,45211,42075,15.41666667,579857,504900,-1,
407,45348,42075,15.41666667,579857,504900,-3,
408,45560,42075,15.41666667,579857,504900,1,
396,46161,42075,15.41666667,579857,504900,-12,
405,46270,42075,15.41666667,579857,504900,9,
417,46275,42075,15.41666667,579857,504900,12,
454,45458,42075,15.41666667,579857,504900,37,
439,45209,42825,15.41666667,702081,513900,-15,
468,44652,42825,15.41666667,702081,513900,29,
470,45145,42825,15.41666667,702081,513900,2,
455,45331,42825,15.41666667,702081,513900,-15,
436,45818,42825,15.41666667,702081,513900,-19,
433,45890,42825,15.41666667,702081,513900,-3,
429,45688,42825,15.41666667,702081,513900,-4,
423,45807,42825,15.41666667,702081,513900,-6,
430,45912,42825,15.41666667,702081,513900,7,
431,46228,42825,15.41666667,702081,513900,1,
440,45929,42825,15.41666667,702081,513900,9,
482,45476,42825,15.41666667,702081,513900,42,
473,45630,42825,15.41666667,764560,?,-9,
516,45175,42825,15.41666667,764560,?,43,
503,45731,42825,15.41666667,764560,?,-13,
481,45839,42825,15.41666667,764560,?,-22,
455,45760,42825,15.41666667,764560,?,-26,
458,45976,42825,15.41666667,764560,?,3,
453,46115,42825,15.41666667,764560,?,-5,
,,,,,,,
